slideshow,position,title,body
"Lesson #0: Think, Feel, Do Your Way Out of Depression",1,Welcome to ThinkFeelDo!,"As this is your first lesson, you'll learn:
- Why ThinkFeelDo might be helpful for you
- How ThinkFeelDo works"
"Lesson #0: Think, Feel, Do Your Way Out of Depression",2,Why should I use ThinkFeelDo?,"Our goal is to help you take control over your mood!  It's easy to get overwhelmed by stressful events or to let one bad day turn into a bad week or month.  ThinkFeelDo will teach you research supported techniques that will allow you to get control over your mood and better manage difficult situations.
 
By being prepared with the skills you need to stay in control, you can prevent yourself from experiencing depression.  You can also use the skills you learn to navigate tough times in a healthy way!  "
"Lesson #0: Think, Feel, Do Your Way Out of Depression",3,"Am I just having a bad day? Or is this depression?
","Sadness and stress are as much a part of the human experience as happiness and joy. However, it is important to know when your bad day has turned into something more, and that your feelings may be symptoms of depression.

The symptoms of depression are:
-  feeling consistently depressed or down,
-  feeling much less interested in doing or enjoying most things
-  having problems with your appetite or your sleep,
-  moving too slowly or feeling agitated and restless,
-  feeling tired all the time,
-  feeling guilty or worthless,
-  having difficulty concentrating, and
-  having thoughts of self harm or suicide.
 
When a person is feeling many of these symptoms consistently for the past 2 weeks, then he/she may be experiencing depression.
 
If you are experiencing thoughts of suicide or hurting yourself or anyone else, we urge you to call your doctor to discuss treatment options, in addition to this program.  If you feel a strong urge to harm yourself or someone else, call 911, or, if you want to talk to someone, call 1-800-SUICIDE."
"Lesson #0: Think, Feel, Do Your Way Out of Depression",4,Depression is treatable,"Although the triggers and symptoms of depression may be different for everyone, there is one thing that is the same:  Depression is treatable. ThinkFeelDo is based on an approach called Cognitive Behavioral Therapy (CBT). Research has repeatedly shown this approach to be highly effective for treating depression and improving your wellbeing."
"Lesson #0: Think, Feel, Do Your Way Out of Depression",5,How does ThinkFeelDo work?,"The skills taught in ThinkFeelDo come from Cognitive Behavioral Therapy (CBT). CBT teaches that your thoughts, feelings, and behaviors are all related to each other.  If you change one, that impacts the others.  For example, when you feel sad or depressed, it changes both how you think (cognitions) and what you do (behaviors). Feeling sad can:
1.    Change your behavior by making it harder to get motivated. As a result, when you’re feeling down you probably do less.
2.    Make your thoughts more negative. Being sad or depressed leads to more negative thoughts about yourself (like ""I'm no good""), the people and world around you (like ""Nobody cares about me""), and the future (like ""Nothing will get better"")"
"Lesson #0: Think, Feel, Do Your Way Out of Depression",6,,"Your behavior can affect both your mood and your thoughts, for better or for worse. Doing less, or doing things that are not enjoyable, can make your thoughts more negative and leave you feeling worse.  For example, if you spend a day off of work by yourself not doing much of anything, you'll probably not feel very good at the end of the day, and you may end up thinking pretty negatively - like ""I'll never accomplish much"" or ""I'm such a loser for avoiding tough tasks""
 
Doing more, and doing things that give you some pleasure or sense of accomplishment will improve your mood and help you think more positively.  If, instead of spending a day alone doing nothing, you meet a friend for lunch and then go to a movie, you'll probably feel a little better, and your thoughts may be more positive - ""I have things to be happy about"" or ""I enjoy spending time with friends."""
"Lesson #0: Think, Feel, Do Your Way Out of Depression",7,,"How your thoughts impact your mood and your behavior:
-    Negative thoughts tend to make you disengage and can leave you feeling worse.  If you face a problem thinking ""This will never work out,"" you will be less likely to even try to fix the problem. And the situation will continue and you will end up feeling worse.
-    On the other hand, adopting a more helpful attitude can increase the chances of success.  If you face the same problem with a thought like ""This is tough, but I will at least be able to improve things a little"" you will probably try to do more, and will end up feeling better."
"Lesson #0: Think, Feel, Do Your Way Out of Depression",8,,"What to expect:
ThinkFeelDo is a 12-week program and consists of several pieces to help you use the program:
1)    LESSONS (accessed by clicking the ""learn"" button) help you understand concepts to help you overcome depression
2)    TOOLS (accessed by clicking the ""feel"", ""do"", and ""think"" buttons) assist you in putting the concepts you’ve learned in the lessons into practice. Not all tools are available when you start this program. 
3)    GUIDES (accessed within each tool by clicking ""Launch Guides"") teach you how to use the tools and how they can be helpful
4)   MY COACH (accessed by clicking the ""My Coach"" button on the right-hand side of the screen) is the place to communicate with your coach and receive support and encouragement"
"Lesson #0: Think, Feel, Do Your Way Out of Depression",9,Getting Started,"We’ve created two tools to help you use the concepts on ThinkFeelDo throughout your day. These tools are the Activity Tracker (""Do"") and the Thought Tracker (""Think""). Each tool relates to a part of the ideas that make up Cognitive Behavioral Therapy. The Activity Tracker helps you learn from and change your behaviors, whereas, the Thought Tracker helps you learn from and change your thoughts. The first few weeks of the ThinkFeelDo program will teach you concepts related to how your behavior and thoughts affect how you feel and how you can gain more control of your mood and your life by changing your behaviors and thoughts. Every few days, we’ll give you a new lesson and in between each lesson will ask you to do some things to practice skills associated with that lesson. The Activity Tracker and Thought Tracker will help you do that. Right now only the Activity Tracker is available but the Thought Tracker will become available in a few days. You can look over the guides to teach you how to use the Activity Tracker and Thought Tracker and we’ll give you more ideas about how to use them in the first few lessons.

""My Coach""
An important part of your ThinkFeelDo experience is your coach.  Your coach will set up weekly phone calls to check in on your progress with ThinkFeelDo. If you have a question throughout the week regarding how to use ThinkFeelDo to manage your mood, you can send a message to your coach through the ThinkFeelDo website using the ""My Coach"" Feature located on the right-hand side of the screen. "
"Lesson #0: Think, Feel, Do Your Way Out of Depression",10,Wrapping Up,"Summary: ThinkFeelDo is a program designed to help you overcome your depression. We’ve designed lessons, tools, and guides that teach you skills and provided a coach to help support you during this program. Experiencing depression is difficult, but you can get better and ThinkFeelDo is here to help!

Moving Forward: Your first lesson starts tomorrow! Learn more about the link between behaviors and your mood by reading Lesson #1: Monitoring Activities. This lesson will teach you more about how the Activity Tracker can be helpful to notice patterns in your activities and mood. You can find Lesson #1 by first clicking on the ""Learn"" button on the left-hand side of the screen and then clicking on the lessons button. "
